time,T,Tb,To,GDD_rating,GD,GDD,cGDD,KD,KDD,cKDD,t,Tavg,Tmin,Tmax,solrad,DLI,solrad_sum
1992.0 hr,23.6 °C,10.0 °C,30.0 °C,1500.0 K,13.600000000000001 K,13.600000000000001 K d^-1,1075.7999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-06,23.6 °C,17.4 °C,27.1 °C,25.488000000000003 MJ d^-1 m^-2,52.760160000000006 mol d^-1 m^-2,1704.9311999999998 MJ m^-2
2016.0 hr,20.0 °C,10.0 °C,30.0 °C,1500.0 K,10.0 K,10.0 K d^-1,1089.3999999999996 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-07,20.0 °C,13.1 °C,26.3 °C,22.19616 MJ d^-1 m^-2,45.9460512 mol d^-1 m^-2,1730.4191999999998 MJ m^-2
2040.0 hr,20.3 °C,10.0 °C,30.0 °C,1500.0 K,10.3 K,10.3 K d^-1,1099.3999999999996 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-08,20.3 °C,12.2 °C,28.2 °C,23.56128 MJ d^-1 m^-2,48.7718496 mol d^-1 m^-2,1752.6153599999998 MJ m^-2
2064.0 hr,21.4 °C,10.0 °C,30.0 °C,1500.0 K,11.399999999999999 K,11.399999999999999 K d^-1,1109.6999999999996 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-09,21.4 °C,12.9 °C,29.6 °C,23.76 MJ d^-1 m^-2,49.1832 mol d^-1 m^-2,1776.1766399999997 MJ m^-2
2088.0 hr,22.5 °C,10.0 °C,30.0 °C,1500.0 K,12.5 K,12.5 K d^-1,1121.0999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-10,22.5 °C,12.6 °C,31.9 °C,23.855040000000002 MJ d^-1 m^-2,49.3799328 mol d^-1 m^-2,1799.9366399999997 MJ m^-2
2112.0 hr,25.0 °C,10.0 °C,30.0 °C,1500.0 K,15.0 K,15.0 K d^-1,1133.5999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-11,25.0 °C,15.6 °C,34.5 °C,22.43808 MJ d^-1 m^-2,46.4468256 mol d^-1 m^-2,1823.7916799999996 MJ m^-2
2136.0 hr,26.8 °C,10.0 °C,30.0 °C,1500.0 K,16.8 K,16.8 K d^-1,1148.5999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-12,26.8 °C,17.9 °C,35.7 °C,21.159360000000003 MJ d^-1 m^-2,43.7998752 mol d^-1 m^-2,1846.2297599999995 MJ m^-2
2160.0 hr,27.9 °C,10.0 °C,30.0 °C,1500.0 K,17.9 K,17.9 K d^-1,1165.3999999999996 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-13,27.9 °C,19.7 °C,36.9 °C,21.44448 MJ d^-1 m^-2,44.390073599999994 mol d^-1 m^-2,1867.3891199999996 MJ m^-2
2184.0 hr,28.6 °C,10.0 °C,30.0 °C,1500.0 K,18.6 K,18.6 K d^-1,1183.2999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-14,28.6 °C,22.2 °C,36.2 °C,22.256640000000004 MJ d^-1 m^-2,46.07124480000001 mol d^-1 m^-2,1888.8335999999995 MJ m^-2
2208.0 hr,28.7 °C,10.0 °C,30.0 °C,1500.0 K,18.7 K,18.7 K d^-1,1201.8999999999996 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-15,28.7 °C,21.9 °C,34.8 °C,19.54368 MJ d^-1 m^-2,40.4554176 mol d^-1 m^-2,1911.0902399999995 MJ m^-2
2232.0 hr,28.0 °C,10.0 °C,30.0 °C,1500.0 K,18.0 K,18.0 K d^-1,1220.5999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-16,28.0 °C,24.0 °C,33.0 °C,14.195520000000002 MJ d^-1 m^-2,29.3847264 mol d^-1 m^-2,1930.6339199999995 MJ m^-2
2256.0 hr,28.2 °C,10.0 °C,30.0 °C,1500.0 K,18.2 K,18.2 K d^-1,1238.5999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-17,28.2 °C,22.4 °C,33.8 °C,16.88256 MJ d^-1 m^-2,34.946899200000004 mol d^-1 m^-2,1944.8294399999995 MJ m^-2
2280.0 hr,29.3 °C,10.0 °C,30.0 °C,1500.0 K,19.3 K,19.3 K d^-1,1256.7999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-18,29.3 °C,23.4 °C,35.2 °C,19.656000000000002 MJ d^-1 m^-2,40.687920000000005 mol d^-1 m^-2,1961.7119999999995 MJ m^-2
2304.0 hr,28.2 °C,10.0 °C,30.0 °C,1500.0 K,18.2 K,18.2 K d^-1,1276.0999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-19,28.2 °C,21.5 °C,34.7 °C,20.87424 MJ d^-1 m^-2,43.209676800000004 mol d^-1 m^-2,1981.3679999999995 MJ m^-2
2328.0 hr,27.5 °C,10.0 °C,30.0 °C,1500.0 K,17.5 K,17.5 K d^-1,1294.2999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-20,27.5 °C,22.3 °C,32.8 °C,18.792 MJ d^-1 m^-2,38.89944 mol d^-1 m^-2,2002.2422399999996 MJ m^-2
2352.0 hr,25.4 °C,10.0 °C,30.0 °C,1500.0 K,15.399999999999999 K,15.399999999999999 K d^-1,1311.7999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-21,25.4 °C,18.7 °C,31.1 °C,18.083520000000004 MJ d^-1 m^-2,37.43288640000001 mol d^-1 m^-2,2021.0342399999995 MJ m^-2
2376.0 hr,26.7 °C,10.0 °C,30.0 °C,1500.0 K,16.7 K,16.7 K d^-1,1327.1999999999998 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-22,26.7 °C,18.9 °C,34.0 °C,18.783360000000002 MJ d^-1 m^-2,38.8815552 mol d^-1 m^-2,2039.1177599999994 MJ m^-2
2400.0 hr,27.1 °C,10.0 °C,30.0 °C,1500.0 K,17.1 K,17.1 K d^-1,1343.8999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-23,27.1 °C,23.3 °C,31.4 °C,14.5152 MJ d^-1 m^-2,30.046463999999997 mol d^-1 m^-2,2057.9011199999995 MJ m^-2
2424.0 hr,26.0 °C,10.0 °C,30.0 °C,1500.0 K,16.0 K,16.0 K d^-1,1360.9999999999998 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-24,26.0 °C,22.4 °C,30.9 °C,11.111040000000001 MJ d^-1 m^-2,22.999852800000003 mol d^-1 m^-2,2072.4163199999994 MJ m^-2
2448.0 hr,25.4 °C,10.0 °C,30.0 °C,1500.0 K,15.399999999999999 K,15.399999999999999 K d^-1,1376.9999999999998 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-25,25.4 °C,20.4 °C,31.1 °C,19.82016 MJ d^-1 m^-2,41.027731200000005 mol d^-1 m^-2,2083.527359999999 MJ m^-2
2472.0 hr,22.2 °C,10.0 °C,30.0 °C,1500.0 K,12.2 K,12.2 K d^-1,1392.3999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-26,22.2 °C,17.4 °C,28.3 °C,7.992 MJ d^-1 m^-2,16.54344 mol d^-1 m^-2,2103.3475199999993 MJ m^-2
2496.0 hr,23.9 °C,10.0 °C,30.0 °C,1500.0 K,13.899999999999999 K,13.899999999999999 K d^-1,1404.6 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-27,23.9 °C,17.4 °C,29.7 °C,11.171520000000001 MJ d^-1 m^-2,23.125046400000002 mol d^-1 m^-2,2111.3395199999995 MJ m^-2
2520.0 hr,19.2 °C,10.0 °C,30.0 °C,1500.0 K,9.2 K,9.2 K d^-1,1418.5 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-28,19.2 °C,15.6 °C,22.5 °C,1.71936 MJ d^-1 m^-2,3.5590752 mol d^-1 m^-2,2122.5110399999994 MJ m^-2
2544.0 hr,17.7 °C,10.0 °C,30.0 °C,1500.0 K,7.699999999999999 K,7.699999999999999 K d^-1,1427.7 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-29,17.7 °C,15.3 °C,21.1 °C,5.676480000000001 MJ d^-1 m^-2,11.7503136 mol d^-1 m^-2,2124.2303999999995 MJ m^-2
2568.0 hr,18.4 °C,10.0 °C,30.0 °C,1500.0 K,8.399999999999999 K,8.399999999999999 K d^-1,1435.4 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-30,18.4 °C,14.6 °C,21.7 °C,9.68544 MJ d^-1 m^-2,20.0488608 mol d^-1 m^-2,2129.9068799999995 MJ m^-2
2592.0 hr,19.9 °C,10.0 °C,30.0 °C,1500.0 K,9.899999999999999 K,9.899999999999999 K d^-1,1443.8000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-31,19.9 °C,15.2 °C,25.2 °C,10.94688 MJ d^-1 m^-2,22.6600416 mol d^-1 m^-2,2139.5923199999997 MJ m^-2
2616.0 hr,17.5 °C,10.0 °C,30.0 °C,1500.0 K,7.5 K,7.5 K d^-1,1453.7000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-01,17.5 °C,15.6 °C,19.0 °C,3.8102400000000003 MJ d^-1 m^-2,7.8871968 mol d^-1 m^-2,2150.5391999999997 MJ m^-2
2640.0 hr,19.3 °C,10.0 °C,30.0 °C,1500.0 K,9.3 K,9.3 K d^-1,1461.2000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-02,19.3 °C,14.6 °C,24.0 °C,12.62304 MJ d^-1 m^-2,26.129692799999997 mol d^-1 m^-2,2154.3494399999995 MJ m^-2
2664.0 hr,22.4 °C,10.0 °C,30.0 °C,1500.0 K,12.399999999999999 K,12.399999999999999 K d^-1,1470.5000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-03,22.4 °C,14.0 °C,30.7 °C,19.275840000000002 MJ d^-1 m^-2,39.9009888 mol d^-1 m^-2,2166.9724799999995 MJ m^-2
2688.0 hr,24.9 °C,10.0 °C,30.0 °C,1500.0 K,14.899999999999999 K,14.899999999999999 K d^-1,1482.9000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-04,24.9 °C,18.2 °C,31.7 °C,19.57824 MJ d^-1 m^-2,40.5269568 mol d^-1 m^-2,2186.2483199999992 MJ m^-2
2712.0 hr,22.2 °C,10.0 °C,30.0 °C,1500.0 K,12.2 K,12.2 K d^-1,1497.8000000000004 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-05,22.2 °C,16.6 °C,28.2 °C,21.49632 MJ d^-1 m^-2,44.4973824 mol d^-1 m^-2,2205.826559999999 MJ m^-2
2736.0 hr,20.3 °C,10.0 °C,30.0 °C,1500.0 K,10.3 K,10.3 K d^-1,1510.0000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-06,20.3 °C,15.0 °C,26.8 °C,21.150720000000003 MJ d^-1 m^-2,43.7819904 mol d^-1 m^-2,2227.3228799999993 MJ m^-2
2760.0 hr,19.6 °C,10.0 °C,30.0 °C,1500.0 K,9.600000000000001 K,9.600000000000001 K d^-1,1520.3000000000004 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-07,19.6 °C,12.2 °C,28.0 °C,21.193920000000002 MJ d^-1 m^-2,43.8714144 mol d^-1 m^-2,2248.4735999999994 MJ m^-2
2784.0 hr,19.8 °C,10.0 °C,30.0 °C,1500.0 K,9.8 K,9.8 K d^-1,1529.9000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-08,19.8 °C,13.3 °C,29.6 °C,17.68608 MJ d^-1 m^-2,36.610185599999994 mol d^-1 m^-2,2269.6675199999995 MJ m^-2
2808.0 hr,21.0 °C,10.0 °C,30.0 °C,1500.0 K,11.0 K,11.0 K d^-1,1539.7000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-09,21.0 °C,11.4 °C,32.4 °C,21.332160000000002 MJ d^-1 m^-2,44.1575712 mol d^-1 m^-2,2287.3535999999995 MJ m^-2
2832.0 hr,23.8 °C,10.0 °C,30.0 °C,1500.0 K,13.8 K,13.8 K d^-1,1550.7000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-10,23.8 °C,15.3 °C,32.8 °C,20.044800000000002 MJ d^-1 m^-2,41.492736 mol d^-1 m^-2,2308.6857599999994 MJ m^-2
2856.0 hr,22.5 °C,10.0 °C,30.0 °C,1500.0 K,12.5 K,12.5 K d^-1,1564.5000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-11,22.5 °C,16.6 °C,26.2 °C,20.640960000000003 MJ d^-1 m^-2,42.726787200000004 mol d^-1 m^-2,2328.7305599999995 MJ m^-2
2880.0 hr,17.5 °C,10.0 °C,30.0 °C,1500.0 K,7.5 K,7.5 K d^-1,1577.0000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-12,17.5 °C,9.0 °C,25.4 °C,20.79648 MJ d^-1 m^-2,43.0487136 mol d^-1 m^-2,2349.3715199999997 MJ m^-2
2904.0 hr,18.4 °C,10.0 °C,30.0 °C,1500.0 K,8.399999999999999 K,8.399999999999999 K d^-1,1584.5000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-13,18.4 °C,8.4 °C,28.2 °C,20.183040000000002 MJ d^-1 m^-2,41.7788928 mol d^-1 m^-2,2370.1679999999997 MJ m^-2
2928.0 hr,21.3 °C,10.0 °C,30.0 °C,1500.0 K,11.3 K,11.3 K d^-1,1592.9000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-14,21.3 °C,14.3 °C,27.3 °C,9.21888 MJ d^-1 m^-2,19.0830816 mol d^-1 m^-2,2390.3510399999996 MJ m^-2
2952.0 hr,23.2 °C,10.0 °C,30.0 °C,1500.0 K,13.2 K,13.2 K d^-1,1604.2000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-15,23.2 °C,21.9 °C,25.3 °C,5.53824 MJ d^-1 m^-2,11.4641568 mol d^-1 m^-2,2399.5699199999995 MJ m^-2
2976.0 hr,23.4 °C,10.0 °C,30.0 °C,1500.0 K,13.399999999999999 K,13.399999999999999 K d^-1,1617.4000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-16,23.4 °C,18.2 °C,29.8 °C,12.76992 MJ d^-1 m^-2,26.4337344 mol d^-1 m^-2,2405.1081599999993 MJ m^-2
3000.0 hr,20.9 °C,10.0 °C,30.0 °C,1500.0 K,10.899999999999999 K,10.899999999999999 K d^-1,1630.8000000000004 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-17,20.9 °C,15.2 °C,28.4 °C,17.55648 MJ d^-1 m^-2,36.3419136 mol d^-1 m^-2,2417.8780799999995 MJ m^-2
3024.0 hr,20.5 °C,10.0 °C,30.0 °C,1500.0 K,10.5 K,10.5 K d^-1,1641.7000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-18,20.5 °C,14.1 °C,28.4 °C,16.5888 MJ d^-1 m^-2,34.338815999999994 mol d^-1 m^-2,2435.4345599999997 MJ m^-2
3048.0 hr,21.2 °C,10.0 °C,30.0 °C,1500.0 K,11.2 K,11.2 K d^-1,1652.2000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-19,21.2 °C,15.8 °C,27.4 °C,12.76128 MJ d^-1 m^-2,26.415849599999998 mol d^-1 m^-2,2452.0233599999997 MJ m^-2
3072.0 hr,22.8 °C,10.0 °C,30.0 °C,1500.0 K,12.8 K,12.8 K d^-1,1663.4000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-20,22.8 °C,16.5 °C,29.2 °C,13.59936 MJ d^-1 m^-2,28.150675200000002 mol d^-1 m^-2,2464.78464 MJ m^-2
3096.0 hr,24.2 °C,10.0 °C,30.0 °C,1500.0 K,14.2 K,14.2 K d^-1,1676.2000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-21,24.2 °C,17.1 °C,30.4 °C,15.690240000000001 MJ d^-1 m^-2,32.4787968 mol d^-1 m^-2,2478.384 MJ m^-2
3120.0 hr,23.7 °C,10.0 °C,30.0 °C,1500.0 K,13.7 K,13.7 K d^-1,1690.4000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-22,23.7 °C,18.6 °C,29.7 °C,13.97952 MJ d^-1 m^-2,28.9376064 mol d^-1 m^-2,2494.07424 MJ m^-2
3144.0 hr,19.3 °C,10.0 °C,30.0 °C,1500.0 K,9.3 K,9.3 K d^-1,1704.1000000000006 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-23,19.3 °C,10.1 °C,24.1 °C,15.033600000000002 MJ d^-1 m^-2,31.119552 mol d^-1 m^-2,2508.05376 MJ m^-2
3168.0 hr,16.3 °C,10.0 °C,30.0 °C,1500.0 K,6.300000000000001 K,6.300000000000001 K d^-1,1713.4000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-24,16.3 °C,7.8 °C,25.5 °C,18.653760000000002 MJ d^-1 m^-2,38.6132832 mol d^-1 m^-2,2523.08736 MJ m^-2
3192.0 hr,17.8 °C,10.0 °C,30.0 °C,1500.0 K,7.800000000000001 K,7.800000000000001 K d^-1,1719.7000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-25,17.8 °C,10.5 °C,24.3 °C,11.5776 MJ d^-1 m^-2,23.965632 mol d^-1 m^-2,2541.74112 MJ m^-2
3216.0 hr,17.5 °C,10.0 °C,30.0 °C,1500.0 K,7.5 K,7.5 K d^-1,1727.5000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-26,17.5 °C,15.7 °C,19.3 °C,2.7648 MJ d^-1 m^-2,5.723136 mol d^-1 m^-2,2553.31872 MJ m^-2
3240.0 hr,21.1 °C,10.0 °C,30.0 °C,1500.0 K,11.100000000000001 K,11.100000000000001 K d^-1,1735.0000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-27,21.1 °C,15.2 °C,28.2 °C,4.6656 MJ d^-1 m^-2,9.657791999999999 mol d^-1 m^-2,2556.08352 MJ m^-2
3264.0 hr,20.2 °C,10.0 °C,30.0 °C,1500.0 K,10.2 K,10.2 K d^-1,1746.1000000000004 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-28,20.2 °C,13.2 °C,25.4 °C,17.77248 MJ d^-1 m^-2,36.7890336 mol d^-1 m^-2,2560.74912 MJ m^-2
3288.0 hr,16.4 °C,10.0 °C,30.0 °C,1500.0 K,6.399999999999999 K,6.399999999999999 K d^-1,1756.3000000000004 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-29,16.4 °C,10.4 °C,24.3 °C,16.839360000000003 MJ d^-1 m^-2,34.8574752 mol d^-1 m^-2,2578.5216 MJ m^-2
3312.0 hr,17.9 °C,10.0 °C,30.0 °C,1500.0 K,7.899999999999999 K,7.899999999999999 K d^-1,1762.7000000000005 K,0.0 K,0.0 K d^-1,0.0 K,2002-09-30,17.9 °C,12.2 °C,24.0 °C,12.36384 MJ d^-1 m^-2,25.593148799999998 mol d^-1 m^-2,2595.36096 MJ m^-2
